title_length,view_count,like_count,comment_count,video_length,tag_count,category_id,channel_subscriber_count
58,282529,1477,,3668,19,26,77300000
51,395668,2829,118,899,19,26,77300000
54,149869,1216,,922,19,26,77300000
57,202052,978,51,927,19,26,77300000
67,385226,2137,,3650,19,26,77300000
47,217282,2017,70,918,19,26,77300000
43,94692,1152,36,905,19,26,77300000
54,509731,4246,183,916,19,26,77300000
55,210880,2074,106,948,19,26,77300000
67,606743,4170,,3645,19,26,77300000
42,162859,1634,86,961,19,26,77300000
54,1038124,7184,140,943,19,26,77300000
48,283201,3052,117,941,19,26,77300000
43,207609,1555,59,940,19,26,77300000
40,182099,1334,55,955,19,26,77300000
45,1376202,9053,,593,19,26,77300000
66,254420,2029,63,939,19,26,77300000
55,697615,2772,,3630,19,26,77300000
44,460848,4633,138,910,19,26,77300000
63,76207,991,46,915,19,26,77300000
56,658256,3948,,3668,19,26,77300000
71,4227041,26656,,959,19,26,77300000
49,373467,2598,,943,19,26,77300000
47,1222848,9810,193,988,19,26,77300000
54,3676947,15102,,3726,19,26,77300000
46,129722,1686,95,924,19,26,77300000
58,744941,5389,115,906,19,26,77300000
48,213268,2637,110,899,19,26,77300000
41,461902,3823,,917,19,26,77300000
42,424827,4144,189,937,19,26,77300000
52,521463,2511,,3656,19,26,77300000
48,111622,1113,92,939,19,26,77300000
52,3287981,18953,312,589,19,26,77300000
48,1764661,59404,117,29,24,26,77300000
50,82867,1128,56,898,19,26,77300000
69,6808006,32854,,3644,19,26,77300000
58,1321801,8692,249,961,19,26,77300000
44,128131,1262,113,1970,19,26,77300000
70,598549,4344,,3648,19,26,77300000
55,5246981,29359,564,1843,19,26,77300000
38,414470,4084,242,618,19,26,77300000
65,587498,3928,163,945,19,26,77300000
54,5267893,167558,,59,27,26,77300000
66,845355,6136,,3652,19,26,77300000
44,601043,5997,108,1024,19,26,77300000
42,345832,2926,117,1819,19,26,77300000
69,5150147,21229,,3604,19,26,77300000
42,726281,5942,190,939,19,26,77300000
42,642049,6995,172,563,19,26,77300000
50,293522,3007,187,1926,19,26,77300000
64,3078520,12105,,3720,19,26,77300000
46,895504,7274,142,2081,19,26,77300000
57,4127817,16456,,1871,19,26,77300000
37,186112,2279,169,919,19,26,77300000
41,3140632,142368,206,57,26,26,77300000
46,5131105,22768,,3661,19,26,77300000
43,376734,3546,204,907,19,26,77300000
69,181784,2430,101,824,19,26,77300000
51,475312,3546,,1859,19,26,77300000
63,517341,3920,,3725,19,26,77300000
42,582186,4158,285,1879,19,26,77300000
53,285980,3016,88,968,19,26,77300000
52,379700,2845,,3827,19,26,77300000
32,518988,7062,256,643,19,26,77300000
59,2508040,11677,191,1850,19,26,77300000
37,1516255,55910,87,58,23,26,77300000
59,9441605,56225,,3615,19,26,77300000
71,308868,3463,166,1014,19,26,77300000
49,1386693,6498,,3717,19,26,77300000
36,259003,2381,120,1035,19,26,77300000
57,4193321,22647,312,1810,19,26,77300000
61,1111867,5432,122,1895,19,26,77300000
55,384157,4486,99,903,19,26,77300000
74,246693,2681,105,1860,19,26,77300000
47,5782637,36783,363,594,19,26,77300000
56,4995683,28786,,2111,19,26,77300000
46,3471430,26867,449,992,19,26,77300000
44,347453,3093,158,1805,19,26,77300000
65,1702579,11582,221,1013,19,26,77300000
44,1383518,7157,,3705,19,26,77300000
34,6376199,243147,120,59,28,26,77300000
63,603358,4452,155,943,19,26,77300000
49,1045521,6560,,1851,19,26,77300000
50,1449823,6839,,925,19,26,77300000
48,428604,2984,,1849,19,26,77300000
57,549871,4126,,597,19,26,77300000
42,488850,5101,200,484,19,26,77300000
47,608736,5771,224,1809,19,26,77300000
55,292977,3080,134,977,19,26,77300000
40,1665199,11549,489,1833,19,26,77300000
64,1105654,9731,2221,986,19,26,77300000
61,2187961,11483,246,1857,19,26,77300000
51,438770,3144,239,944,19,26,77300000
42,564405,4193,192,1912,19,26,77300000
36,24074725,1117271,539,60,26,26,77300000
57,2129711,18464,477,483,19,26,77300000
44,270797,3105,113,952,19,26,77300000
46,1063943,10437,294,1856,19,26,77300000
43,294961,2669,157,930,19,26,77300000
38,1964319,11883,245,1875,19,26,77300000
51,7179997,62104,682,1937,19,26,77300000
90,338758,3275,111,564,19,26,77300000
49,800474,6401,225,561,19,26,77300000
40,567675,4124,120,1866,19,26,77300000
48,17490099,59525,,3703,19,26,77300000
44,200660,2099,123,973,19,26,77300000
51,3342495,22810,324,928,19,26,77300000
48,580441,5572,294,997,19,26,77300000
43,787767,7332,226,539,19,26,77300000
47,2057613,16241,527,1830,19,26,77300000
46,387037,3731,169,938,19,26,77300000
51,174722,1776,65,959,19,26,77300000
47,446772,3761,113,941,19,26,77300000
31,1261663,57625,92,58,24,26,77300000
36,307838,2796,130,992,19,26,77300000
64,852587,3795,120,966,19,26,77300000
37,428367,3538,160,911,19,26,77300000
36,1626366,83761,203,51,24,26,77300000
56,457578,3754,136,896,19,26,77300000
35,759943,7043,315,636,19,26,77300000
53,493393,4392,129,988,19,26,77300000
42,393442,3778,154,903,19,26,77300000
55,341888,2428,134,2005,19,26,77300000
59,3120479,21084,405,525,19,26,77300000
54,1326461,39413,39,58,25,26,77300000
50,1866107,11622,300,881,19,26,77300000
33,754542,3790,,1853,19,26,77300000
54,230267,2669,98,933,19,26,77300000
34,2757716,117727,50,31,25,26,77300000
58,199897,2135,108,953,19,26,77300000
47,564189,2155,,3668,19,26,77300000
53,836417,6400,192,920,22,26,77300000
46,1997558,17035,267,973,22,26,77300000
41,284309,2992,221,858,19,26,77300000
55,6367829,48705,668,2148,19,26,77300000
35,968759,6903,249,925,19,26,77300000
61,155778,1331,81,923,19,26,77300000
48,846222,7345,219,601,19,26,77300000
51,1913602,64279,111,18,23,26,77300000
44,139827,1826,110,1113,19,26,77300000
38,1961374,16033,254,946,19,26,77300000
42,361011,3574,124,482,19,26,77300000
33,8795279,435614,281,59,25,26,77300000
69,1631668,7440,,3795,19,26,77300000
45,1725204,11491,336,947,19,26,77300000
45,493053,3267,109,922,19,26,77300000
67,1688817,14087,285,906,22,26,77300000
32,443964,4618,188,918,21,26,77300000
69,550898,4303,146,1839,19,26,77300000
59,470917,5261,251,572,19,26,77300000
35,41863395,686160,228,40,25,26,77300000
52,7536728,51692,856,992,22,26,77300000
69,1523924,10475,,958,19,26,77300000
44,338956,3327,169,910,19,26,77300000
39,982050,45598,70,53,27,26,77300000
55,16676290,92349,1492,939,19,26,77300000
51,1352120,10567,366,952,22,26,77300000
47,3261981,17507,,1841,19,26,77300000
65,322398,3159,164,551,19,26,77300000
57,217191,2008,,917,19,26,77300000
40,1776554,12566,287,973,23,26,77300000
44,1779284,18809,433,907,19,26,77300000
61,1429894,9194,,1861,19,26,77300000
42,563964,6775,199,606,19,26,77300000
52,92437927,1821899,1469,41,27,26,77300000
42,427564,5033,166,999,19,26,77300000
64,8811550,50011,,953,19,26,77300000
33,1122141,46365,87,55,27,26,77300000
45,1980507,16322,249,970,19,26,77300000
55,394506,3917,134,1136,19,26,77300000
59,190919,2415,113,967,19,26,77300000
47,1341041,13090,309,586,19,26,77300000
54,464848,2423,,1849,19,26,77300000
47,280727,3170,93,970,19,26,77300000
43,3330288,22681,282,960,19,26,77300000
48,769238,7744,239,593,19,26,77300000
36,333704,2178,,1868,19,26,77300000
43,281233,2802,95,957,19,26,77300000
36,3553442,70532,57,9,29,26,77300000
73,224089,2632,153,948,19,26,77300000
47,1552598,6726,,3805,19,26,77300000
42,43388743,2608873,2200,57,28,26,77300000
51,370740,3701,201,926,21,26,77300000
47,4071065,39731,414,527,19,26,77300000
45,10796229,62109,,3609,19,26,77300000
48,13011777,80528,1585,917,21,26,77300000
49,6727048,30516,,937,21,26,77300000
42,1034580,36705,44,17,19,26,77300000
41,804463,6910,206,518,19,26,77300000
49,5179800,27982,304,1109,23,26,77300000
49,5341282,140900,355,60,25,26,77300000
34,453519,4383,214,968,23,26,77300000
53,1671052,11128,224,915,19,26,77300000
49,276127,2410,,979,19,26,77300000
37,1501647,59894,115,39,29,26,77300000
33,323182,2739,151,1019,19,26,77300000
37,16490046,66559,,3628,19,26,77300000
60,592629,4466,204,623,19,26,77300000
87,4133951,19174,198,739,19,26,77300000
58,2595775,13741,242,3687,19,26,77300000
54,331050,2453,122,925,24,26,77300000
50,783720,5084,148,917,23,26,77300000
62,206443,1819,88,974,19,26,77300000
38,7641363,50695,500,711,19,26,77300000
51,2817855,69390,134,12,28,26,77300000
